city,price,property_type
Karachi,115000,House
Karachi,10200000,House
Islamabad,5900000,House
Karachi,435000,House
Rawalpindi,4550000,House
Islamabad,1700000,House
Lahore,15400000,House
Lahore,7400000,House
Karachi,650000,House
Islamabad,5700000,House
Rawalpindi,5500000,House
Karachi,4600000,House
Faisalabad,27500000,House
Karachi,145000,House
Karachi,295000,House
Islamabad,9100000,House
Rawalpindi,25800000,House
Islamabad,7250000,House
Lahore,6499000,House
Rawalpindi,44000,House
Lahore,6300000,House
Islamabad,24000000,House
Islamabad,30500000,House
Karachi,33000,House
Islamabad,73000,House
Karachi,199000,House
Karachi,43000,House
Rawalpindi,40000,House
Rawalpindi,17000000,House
Lahore,23200000,House
Karachi,40500000,House
Islamabad,18900000,House
Karachi,27700000,House
Islamabad,46000,House
Faisalabad,7300000,House
Faisalabad,7700000,House
Lahore,40800000,House
Lahore,42000000,House
Islamabad,19500000,House
Faisalabad,19000000,House
Rawalpindi,9800000,House
Faisalabad,4200000,House
Karachi,9300000,House
Karachi,15200000,House
Karachi,16800000,House
Rawalpindi,39000,House
Rawalpindi,24800000,House
Faisalabad,6000000,House
Rawalpindi,28500000,House
Lahore,11400000,House
Islamabad,6900000,House
Islamabad,1000000,House
Lahore,24500000,House
Islamabad,1800000,House
Islamabad,2250000,House
Islamabad,8000000,House
Karachi,55000,House
Islamabad,83000,House
Karachi,4650000,House
Karachi,330000,House
Rawalpindi,1500000,House
Islamabad,12400000,House
Rawalpindi,48000,House
Lahore,22000000,House
Karachi,6000000,House
Rawalpindi,13400000,House
Islamabad,158000,House
Lahore,35200000,House
Islamabad,2900000,House
Faisalabad,110000,House
Islamabad,525000,House
Islamabad,12600000,House
Islamabad,195000,House
Karachi,5400000,House
Lahore,36000000,House
Lahore,37200000,House
Islamabad,41500000,House
Karachi,6600000,House
Lahore,3450000,House
Karachi,15400000,House
Rawalpindi,66000,House
Islamabad,600000,House
Islamabad,350000,House
Karachi,7500000,House
Faisalabad,7500000,House
Faisalabad,2700000,House
Faisalabad,4700000,House
Islamabad,39900000,House
Lahore,2880000,House
Faisalabad,32000,House
Rawalpindi,7095000,House
Faisalabad,175000,House
Lahore,16900000,House
Islamabad,10300000,House
Faisalabad,2550000,House
Karachi,16000000,House
Lahore,5900000,House
Rawalpindi,135000,House
Islamabad,33000000,House
Karachi,150000,House
Karachi,30800000,House
Islamabad,28200000,House
Lahore,12000000,House
Islamabad,12000000,House
Karachi,13800000,House
Karachi,2200000,House
Rawalpindi,12300000,House
Karachi,475000,House
Lahore,34000000,House
Rawalpindi,11000000,House
Islamabad,7600000,House
Karachi,33000000,House
Islamabad,150000,House
Rawalpindi,4300000,House
Karachi,11100000,House
Lahore,39800000,House
Islamabad,78000,House
Rawalpindi,16000,House
Islamabad,450000,House
Islamabad,25800000,House
Islamabad,9800000,House
Islamabad,72000,House
Islamabad,5650000,House
Islamabad,560000,House
Lahore,14100000,House
Lahore,17700000,House
Lahore,32700000,House
Islamabad,17000000,House
Karachi,65000,House
Rawalpindi,17000,House
Rawalpindi,16500,House
Rawalpindi,44000000,House
Lahore,17200000,House
Lahore,2750000,House
Faisalabad,7900000,House
Karachi,12200000,House
Islamabad,14900000,House
Lahore,41600000,House
Rawalpindi,8100000,House
Lahore,11800000,House
Lahore,13700000,House
Karachi,8000000,House
Rawalpindi,7000000,House
Karachi,34000,House
Islamabad,300000,House
Rawalpindi,3600000,House
Karachi,37000000,House
Karachi,160000,House
Lahore,14600000,House
Islamabad,2950000,House
Faisalabad,5780000,House
Lahore,33000000,House
Karachi,15800000,House
Rawalpindi,20500000,House
Islamabad,37000,House
Rawalpindi,3300000,House
Rawalpindi,47000,House
Lahore,4300000,House
Islamabad,6100000,House
Islamabad,30800000,House
Lahore,8350000,House
Lahore,31300000,House
Lahore,21600000,House
Lahore,39900000,House
Islamabad,50000,House
Islamabad,9700000,House
Islamabad,85000,House
Rawalpindi,3850000,House
Karachi,10800000,House
Karachi,17200000,House
Lahore,21500000,House
Lahore,7900000,House
Islamabad,35000000,House
Rawalpindi,31000000,House
Islamabad,29500000,House
Lahore,5700000,House
Rawalpindi,120000,House
Rawalpindi,2800000,House
Rawalpindi,5650000,House
Islamabad,56000,House
Rawalpindi,8950000,House
Rawalpindi,18000000,House
Karachi,3900000,House
Faisalabad,100000,House
Rawalpindi,19500000,House
Rawalpindi,13800000,House
Rawalpindi,4200000,House
Rawalpindi,4600000,House
Islamabad,143000,House
Karachi,4450000,House
Rawalpindi,18500000,House
Karachi,34000000,House
Karachi,4300000,House
Islamabad,550000,House
Islamabad,8300000,House
Karachi,11400000,House
Islamabad,248000,House
Lahore,35900000,House
Rawalpindi,9000000,House
Islamabad,280000,House
Lahore,5600000,House
Lahore,43500000,House
Rawalpindi,2500000,House
Lahore,2600000,House
Islamabad,6400000,House
Lahore,14900000,House
Rawalpindi,7900000,House
Islamabad,500000,House
Lahore,33600000,House
Lahore,2250000,House
Lahore,8750000,House
Lahore,5850000,House
Faisalabad,4500000,House
Karachi,22500000,House
Islamabad,9900000,House
Karachi,4150000,House
Lahore,12600000,House
Rawalpindi,42900000,House
Islamabad,13400000,House
Karachi,35500000,House
Islamabad,3850000,House
Karachi,9050000,House
Faisalabad,6500000,House
Karachi,8100000,House
Faisalabad,16500000,House
Lahore,3350000,House
Islamabad,17800000,House
Islamabad,15600000,House
Islamabad,198000,House
Lahore,29700000,House
Islamabad,160000,House
Rawalpindi,40000000,House
Islamabad,10000000,House
Faisalabad,30000000,House
Lahore,11600000,House
Rawalpindi,8900000,House
Islamabad,26000,House
Karachi,44500000,House
Rawalpindi,2950000,House
Karachi,18000000,House
Islamabad,245000,House
Islamabad,4000000,House
Karachi,126000,House
Rawalpindi,30000000,House
Rawalpindi,15000000,House
Rawalpindi,4500000,House
Faisalabad,5025000,House
Faisalabad,36000,House
Karachi,445000,House
Rawalpindi,1950000,House
Islamabad,430000,House
Lahore,37000000,House
Lahore,39000000,House
Karachi,27500000,House
Lahore,10500000,House
Islamabad,32000,House
Faisalabad,35000,House
Rawalpindi,5600000,House
Islamabad,4400000,House
Karachi,142000,House
Karachi,235000,House
Lahore,30900000,House
Rawalpindi,140000,House
Faisalabad,8000000,House
Rawalpindi,3700000,House
Karachi,35000,House
Karachi,10400000,House
Islamabad,375000,House
Rawalpindi,14700000,House
Lahore,23500000,House
Lahore,14000000,House
Karachi,18500000,House
Lahore,2150000,House
Islamabad,25000,House
Lahore,38700000,House
Islamabad,71000,House
Islamabad,5480000,House
Lahore,19300000,House
Faisalabad,6650000,House
Islamabad,6700000,House
Karachi,2000000,House
Islamabad,14800000,House
Rawalpindi,6100000,House
Faisalabad,6400000,House
Rawalpindi,5700000,House
Faisalabad,4150000,House
Islamabad,200000,House
Faisalabad,14000000,House
Faisalabad,2000000,House
Rawalpindi,43000,House
Lahore,9950000,House
Rawalpindi,27900000,House
Rawalpindi,17800000,House
Lahore,16400000,House
Lahore,18800000,House
